10:04:39 Hybrid tokenizer, passthrough_prob=0.5
10:04:40 Model: 20.64M params, train=184, val=10
11:13:02 step=20900 loss=0.02718 lr=2.00e-03 mode=passthrough t=4102s
11:13:22 step=21000 loss=0.02945 lr=2.00e-03 mode=passthrough t=4122s
11:13:41 step=21100 loss=0.02801 lr=2.00e-03 mode=all-discrete t=4141s
11:14:01 step=21200 loss=0.02823 lr=2.00e-03 mode=passthrough t=4161s
11:14:21 step=21300 loss=0.03014 lr=2.00e-03 mode=all-discrete t=4181s
11:14:40 step=21400 loss=0.02644 lr=2.00e-03 mode=passthrough t=4200s
11:14:41 VAL step=21402 epoch=233 val=0.03664
11:14:41   New best: 0.03664
11:15:01 step=21500 loss=0.03183 lr=2.00e-03 mode=all-discrete t=4221s
11:15:20 step=21600 loss=0.02583 lr=2.00e-03 mode=all-discrete t=4240s
11:15:40 step=21700 loss=0.02912 lr=2.00e-03 mode=all-discrete t=4260s
11:15:59 step=21800 loss=0.02939 lr=2.00e-03 mode=passthrough t=4279s
11:16:19 step=21900 loss=0.03026 lr=2.00e-03 mode=all-discrete t=4299s
11:16:39 step=22000 loss=0.03344 lr=2.00e-03 mode=all-discrete t=4319s
11:16:58 step=22100 loss=0.03013 lr=2.00e-03 mode=passthrough t=4338s
11:17:18 step=22200 loss=0.02769 lr=2.00e-03 mode=passthrough t=4358s
11:17:38 step=22300 loss=0.02762 lr=2.00e-03 mode=all-discrete t=4378s
11:17:57 step=22400 loss=0.02759 lr=2.00e-03 mode=passthrough t=4397s
11:18:17 step=22500 loss=0.02941 lr=2.00e-03 mode=all-discrete t=4417s
11:18:36 step=22600 loss=0.02786 lr=2.00e-03 mode=all-discrete t=4436s
11:18:56 step=22700 loss=0.03517 lr=2.00e-03 mode=all-discrete t=4456s
11:19:16 step=22800 loss=0.02944 lr=2.00e-03 mode=all-discrete t=4476s
11:19:35 step=22900 loss=0.02548 lr=2.00e-03 mode=passthrough t=4495s
11:19:55 step=23000 loss=0.02669 lr=2.00e-03 mode=all-discrete t=4515s
11:20:15 step=23100 loss=0.02826 lr=2.00e-03 mode=passthrough t=4535s
11:20:34 step=23200 loss=0.02672 lr=2.00e-03 mode=all-discrete t=4554s
11:20:54 step=23300 loss=0.02910 lr=2.00e-03 mode=all-discrete t=4574s
11:21:13 step=23400 loss=0.02960 lr=2.00e-03 mode=passthrough t=4594s
11:21:33 step=23500 loss=0.02954 lr=2.00e-03 mode=all-discrete t=4613s
11:21:53 step=23600 loss=0.02720 lr=2.00e-03 mode=passthrough t=4633s
11:22:12 step=23700 loss=0.03039 lr=2.00e-03 mode=all-discrete t=4652s
11:22:32 step=23800 loss=0.02978 lr=2.00e-03 mode=passthrough t=4672s
11:22:51 step=23900 loss=0.02725 lr=2.00e-03 mode=passthrough t=4692s
11:23:11 step=24000 loss=0.03067 lr=2.00e-03 mode=all-discrete t=4711s
11:23:31 step=24100 loss=0.03059 lr=2.00e-03 mode=passthrough t=4731s
11:23:50 step=24200 loss=0.03316 lr=2.00e-03 mode=all-discrete t=4751s
11:24:10 step=24300 loss=0.02815 lr=2.00e-03 mode=passthrough t=4770s
11:24:30 step=24400 loss=0.02595 lr=2.00e-03 mode=passthrough t=4790s
11:24:41 VAL step=24457 epoch=266 val=0.03673
11:24:50 step=24500 loss=0.02869 lr=2.00e-03 mode=all-discrete t=4810s
11:25:09 step=24600 loss=0.02865 lr=2.00e-03 mode=passthrough t=4829s
11:25:29 step=24700 loss=0.02930 lr=2.00e-03 mode=passthrough t=4849s
11:25:49 step=24800 loss=0.03049 lr=2.00e-03 mode=passthrough t=4869s
11:26:08 step=24900 loss=0.03054 lr=2.00e-03 mode=passthrough t=4888s
11:26:28 step=25000 loss=0.02633 lr=2.00e-03 mode=passthrough t=4908s
11:26:47 step=25100 loss=0.02872 lr=2.00e-03 mode=all-discrete t=4927s
11:27:07 step=25200 loss=0.03025 lr=2.00e-03 mode=all-discrete t=4947s
11:27:27 step=25300 loss=0.02865 lr=2.00e-03 mode=all-discrete t=4967s
11:27:46 step=25400 loss=0.02518 lr=2.00e-03 mode=passthrough t=4986s
11:28:06 step=25500 loss=0.03150 lr=2.00e-03 mode=passthrough t=5006s
11:28:26 step=25600 loss=0.02781 lr=2.00e-03 mode=passthrough t=5026s
11:28:45 step=25700 loss=0.02870 lr=2.00e-03 mode=all-discrete t=5045s
11:29:05 step=25800 loss=0.03020 lr=2.00e-03 mode=all-discrete t=5065s
11:29:24 step=25900 loss=0.02888 lr=2.00e-03 mode=passthrough t=5085s
11:29:44 step=26000 loss=0.03073 lr=2.00e-03 mode=all-discrete t=5104s
11:30:04 step=26100 loss=0.02832 lr=2.00e-03 mode=all-discrete t=5124s
11:30:23 step=26200 loss=0.03150 lr=2.00e-03 mode=all-discrete t=5143s
11:30:43 step=26300 loss=0.03088 lr=2.00e-03 mode=all-discrete t=5163s
11:31:02 step=26400 loss=0.02984 lr=2.00e-03 mode=passthrough t=5183s
11:31:22 step=26500 loss=0.03067 lr=2.00e-03 mode=all-discrete t=5202s
11:31:42 step=26600 loss=0.02615 lr=2.00e-03 mode=passthrough t=5222s
11:32:01 step=26700 loss=0.02700 lr=2.00e-03 mode=all-discrete t=5242s
11:32:21 step=26800 loss=0.02899 lr=2.00e-03 mode=passthrough t=5261s
11:32:41 step=26900 loss=0.02865 lr=2.00e-03 mode=passthrough t=5281s
11:33:00 step=27000 loss=0.02890 lr=2.00e-03 mode=all-discrete t=5300s
11:33:20 step=27100 loss=0.02868 lr=2.00e-03 mode=all-discrete t=5320s
11:33:39 step=27200 loss=0.02715 lr=2.00e-03 mode=passthrough t=5340s
11:33:59 step=27300 loss=0.02859 lr=2.00e-03 mode=passthrough t=5359s
11:34:19 step=27400 loss=0.02845 lr=2.00e-03 mode=all-discrete t=5379s
11:34:38 step=27500 loss=0.02682 lr=2.00e-03 mode=passthrough t=5398s
11:34:41 VAL step=27513 epoch=300 val=0.03655
11:34:42   New best: 0.03655
11:34:59 step=27600 loss=0.02868 lr=2.00e-03 mode=passthrough t=5419s
11:35:18 step=27700 loss=0.02765 lr=2.00e-03 mode=passthrough t=5438s
11:35:38 step=27800 loss=0.02604 lr=2.00e-03 mode=all-discrete t=5458s
11:35:58 step=27900 loss=0.02841 lr=2.00e-03 mode=passthrough t=5478s
11:36:17 step=28000 loss=0.02851 lr=2.00e-03 mode=passthrough t=5497s
11:36:37 step=28100 loss=0.02979 lr=2.00e-03 mode=passthrough t=5517s
11:36:56 step=28200 loss=0.02758 lr=2.00e-03 mode=passthrough t=5536s
11:37:16 step=28300 loss=0.02754 lr=2.00e-03 mode=all-discrete t=5556s
11:37:36 step=28400 loss=0.03096 lr=2.00e-03 mode=all-discrete t=5576s
11:37:55 step=28500 loss=0.02777 lr=2.00e-03 mode=passthrough t=5595s
11:38:15 step=28600 loss=0.02707 lr=2.00e-03 mode=passthrough t=5615s
